Feature Extractor,ML Classifier,Estimators,Accuracy
DenseNet201,SVC,3,76.92307692307693
DenseNet201,SVC,5,76.06837606837607
DenseNet201,SVC,7,75.8974358974359
DenseNet201,SVC,9,76.23931623931624
DenseNet201,KNN,3,66.83760683760683
DenseNet201,KNN,5,66.15384615384615
DenseNet201,KNN,7,66.32478632478632
DenseNet201,KNN,9,67.008547008547
DenseNet201,DecisionTree,3,63.931623931623925
DenseNet201,DecisionTree,5,66.83760683760683
DenseNet201,DecisionTree,7,68.03418803418803
DenseNet201,DecisionTree,9,71.11111111111111
DenseNet201,MLP,3,76.41025641025641
DenseNet201,MLP,5,76.41025641025641
DenseNet201,MLP,7,77.94871794871796
DenseNet201,MLP,9,78.11965811965813
InceptionV3,SVC,3,76.75213675213676
InceptionV3,SVC,5,75.55555555555556
InceptionV3,SVC,7,76.23931623931624
InceptionV3,SVC,9,76.5811965811966
InceptionV3,KNN,3,65.8119658119658
InceptionV3,KNN,5,67.17948717948717
InceptionV3,KNN,7,66.66666666666666
InceptionV3,KNN,9,66.32478632478632
InceptionV3,DecisionTree,3,64.61538461538461
InceptionV3,DecisionTree,5,63.931623931623925
InceptionV3,DecisionTree,7,66.49572649572649
InceptionV3,DecisionTree,9,66.66666666666666
InceptionV3,MLP,3,75.21367521367522
InceptionV3,MLP,5,73.84615384615385
InceptionV3,MLP,7,74.1880341880342
InceptionV3,MLP,9,74.7008547008547
MobileNetV2,SVC,3,78.63247863247864
MobileNetV2,SVC,5,78.11965811965813
MobileNetV2,SVC,7,79.31623931623932
MobileNetV2,SVC,9,78.2905982905983
MobileNetV2,KNN,3,70.08547008547008
MobileNetV2,KNN,5,71.28205128205128
MobileNetV2,KNN,7,71.11111111111111
MobileNetV2,KNN,9,70.94017094017094
MobileNetV2,DecisionTree,3,62.73504273504273
MobileNetV2,DecisionTree,5,63.589743589743584
MobileNetV2,DecisionTree,7,67.52136752136752
MobileNetV2,DecisionTree,9,67.6923076923077
MobileNetV2,MLP,3,79.48717948717949
MobileNetV2,MLP,5,80.0
MobileNetV2,MLP,7,80.0
MobileNetV2,MLP,9,79.82905982905983
