Feature Extractor,ML Classifier,3 Est.,5 Est.,7 Est.,9 Est.
DenseNet201,DecisionTree,63.931623931623925,66.83760683760683,68.03418803418803,71.11111111111111
DenseNet201,KNN,66.83760683760683,66.15384615384615,66.32478632478632,67.008547008547
DenseNet201,MLP,76.41025641025641,76.41025641025641,77.94871794871796,78.11965811965813
DenseNet201,SVC,76.92307692307693,76.06837606837607,75.8974358974359,76.23931623931624
InceptionV3,DecisionTree,64.61538461538461,63.931623931623925,66.49572649572649,66.66666666666666
InceptionV3,KNN,65.8119658119658,67.17948717948717,66.66666666666666,66.32478632478632
InceptionV3,MLP,75.21367521367522,73.84615384615385,74.1880341880342,74.7008547008547
InceptionV3,SVC,76.75213675213676,75.55555555555556,76.23931623931624,76.5811965811966
MobileNetV2,DecisionTree,62.73504273504273,63.589743589743584,67.52136752136752,67.6923076923077
MobileNetV2,KNN,70.08547008547008,71.28205128205128,71.11111111111111,70.94017094017094
MobileNetV2,MLP,79.48717948717949,80.0,80.0,79.82905982905983
MobileNetV2,SVC,78.63247863247864,78.11965811965813,79.31623931623932,78.2905982905983
